i;j;player;rival;seed;pScore;rScore;winner;secs;pFled;rFled;pHits;rHits;pKnocked;rKnocked;pCol;rCol;detail
7;3;Emboscada;Hormiguero;4246;24;22;Player;9;0;6;2;0;0;2;26;29;P:CazV=4/6/2/0/0 P:SeñV=5/5/0/0/0 P:RecC=15/15/0/0/0 R:RecV=4/9/0/1/2 R:RecV=11/11/0/0/1 R:RecV=7/9/0/1/3 
7;4;Emboscada;HormigueroSenuelo;4246;20;18;Player;9;3;8;5;0;0;5;24;22;P:CazV=0/2/5/0/0 P:SeñV=8/9/0/0/1 P:RecC=12/13/0/0/2 R:RecV=9/12/0/1/3 R:RecV=7/8/0/1/5 R:SeñC=2/2/0/3/0 
7;5;Emboscada;Senuelos;4246;6;2;Player;9;8;8;3;0;0;3;8;5;P:CazV=0/2/3/0/0 P:SeñV=2/2/0/0/1 P:RecC=4/4/0/0/7 R:SeñC=0/1/0/0/0 R:SeñV=2/2/0/0/0 R:RecV=0/2/0/3/8 
7;6;Emboscada;Engano;4246;15;14;Player;9;1;14;4;0;0;4;20;18;P:CazV=0/2/4/0/0 P:SeñV=2/2/0/0/0 P:RecC=13/16/0/0/1 R:SeñC=0/0/0/1/3 R:RecC=10/12/0/1/4 R:RecC=4/6/0/2/7 
7;7;Emboscada;Emboscada;4246;14;13;Player;9;2;3;1;2;2;1;19;18;P:CazV=0/2/1/0/0 P:SeñV=2/4/0/1/0 P:RecC=12/13/0/1/2 R:CazV=0/2/2/0/0 R:SeñV=2/2/0/1/0 R:RecC=11/14/0/0/3 
7;8;Emboscada;Codicia;4246;20;31;Rival;9;0;11;2;0;0;2;21;32;P:CazV=2/3/2/0/0 P:SeñV=2/2/0/0/0 P:RecC=16/16/0/0/0 R:RecC=9/10/0/2/4 R:RecC=12/12/0/0/3 R:RecC=10/10/0/0/4 
7;9;Emboscada;Mixta;4246;2;9;Rival;10;10;4;3;6;6;3;7;12;P:CazV=0/2/3/1/0 P:SeñV=2/5/0/1/0 P:RecC=0/0/0/4/10 R:GuaC=0/1/3/1/0 R:CazC=2/2/3/0/0 R:RecV=7/9/0/2/4 
8;0;Codicia;Muralla;4246;11;24;Rival;9;17;0;0;7;7;0;17;29;P:RecC=3/3/0/2/7 P:RecC=5/6/0/2/5 P:RecC=3/8/0/3/5 R:GuaC=0/0/7/0/0 R:RecC=12/15/0/0/0 R:RecC=12/14/0/0/0 
8;1;Codicia;Fortin;4246;2;15;Rival;9;26;0;0;7;7;0;7;17;P:RecC=1/2/0/4/7 P:RecC=0/2/0/2/10 P:RecC=1/3/0/1/9 R:GuaC=0/0/6/0/0 R:CazV=0/2/1/0/0 R:RecC=15/15/0/0/0 
8;2;Codicia;Jauria;4246;5;13;Rival;10;25;0;0;8;8;0;8;17;P:RecC=2/4/0/4/7 P:RecC=2/2/0/1/10 P:RecC=1/2/0/3/8 R:CazC=0/0/5/0/0 R:CazV=0/2/3/0/0 R:RecV=13/15/0/0/0 
